,acc,f1,mcc,auc,model,embedding_name,embedding_type,original_dim_number,compression,compression_name,compression_dim,is_seed,seed
0,0.8947368421052632,0.891304347826087,0.7900584012487727,0.9275555555555556,h2o,refex,graph_features,0,False,no_compression,0,False,NA
1,0.8947368421052632,0.8863636363636364,0.7891255548541009,0.9502222222222223,h2o,rolx_dim_128_pca_16,rolx,128,True,pca,128,False,NA
2,0.8842105263157894,0.8842105263157894,0.7733333333333333,0.9155555555555556,h2o,bitcoin_otc_emb_all_pca_16,all_embeddings,0,True,pca,0,False,NA
3,0.8736842105263158,0.8775510204081634,0.7596177114740713,0.9057777777777778,h2o,struc2vec_dim_128,struc2vec,128,False,no_compression,128,False,NA
4,0.8736842105263158,0.8775510204081634,0.7596177114740713,0.9179999999999999,h2o,bitcoin_otc_gf_nbrs_emb_umap_16_seed_0,graph_features,0,True,umap,0,True,0
5,0.8736842105263158,0.8723404255319148,0.7504443456791097,0.8926666666666666,h2o,struc2vec_dim_128_pca_16,struc2vec,128,True,pca,128,False,NA
6,0.8736842105263158,0.8723404255319148,0.7504443456791097,0.9184444444444445,h2o,bitcoin_otc_gf_nbrs_emb_pca_16,graph_features,0,True,pca,0,False,NA
7,0.8736842105263158,0.8723404255319148,0.7504443456791097,0.8835555555555555,h2o,struc2vec_dim_32,struc2vec,32,False,no_compression,32,False,NA
8,0.8736842105263158,0.8723404255319148,0.7504443456791097,0.8926666666666666,h2o,pygn_degree_cols_dim_32_umap_16_seed_0,pygn_degree,32,True,umap,32,True,0
9,0.8842105263157894,0.8705882352941177,0.7708351760829734,0.9342222222222222,h2o,bitcoin_otc_gf_emb,graph_features,0,False,no_compression,0,False,NA
10,0.8736842105263158,0.8695652173913044,0.7478923629798775,0.8788888888888888,h2o,struc2vec_dim_8,struc2vec,8,False,no_compression,8,False,NA
11,0.8736842105263158,0.8695652173913044,0.7478923629798775,0.8855555555555555,h2o,struc2vec_dim_32_umap_16_seed_1,struc2vec,32,True,umap,32,True,1
12,0.8631578947368421,0.8686868686868687,0.7415115682182345,0.8804444444444445,h2o,struc2vec_dim_32_pca_16,struc2vec,32,True,pca,32,False,NA
13,0.8631578947368421,0.8686868686868687,0.7415115682182345,0.894,h2o,bitcoin_otc_gf_emb_umap_16_seed_2,graph_features,0,True,umap,0,True,2
14,0.8631578947368421,0.8631578947368421,0.7311111111111112,0.9044444444444444,h2o,pygn_gf_cols_dim_32_pca_16,pygn_gf,32,True,pca,32,False,NA
15,0.8631578947368421,0.8631578947368421,0.7311111111111112,0.8915555555555555,h2o,pygn_gf_cols_dim_128_pca_16,pygn_gf,128,True,pca,128,False,NA
16,0.8631578947368421,0.8627450980392156,0.7315635209502899,0.9293333333333333,h2o,bitcoin_otc_gf_emb_pca_16,graph_features,0,True,pca,0,False,NA
17,0.8631578947368421,0.8602150537634408,0.7279189764314534,0.9188888888888889,h2o,bitcoin_otc_gf_nbrs_pca_16,graph_features,0,True,pca,0,False,NA
18,0.8631578947368421,0.8602150537634408,0.7279189764314534,0.9159999999999999,h2o,rolx_dim_32_pca_16,rolx,32,True,pca,32,False,NA
19,0.8631578947368421,0.8602150537634408,0.7279189764314534,0.8995555555555554,h2o,rolx_dim_128_umap_16_seed_2,rolx,128,True,umap,128,True,2
20,0.8526315789473684,0.8571428571428572,0.7171684864211084,0.8895555555555554,h2o,bitcoin_otc_gf_umap_16_seed_2,graph_features,0,True,umap,0,True,2
21,0.8631578947368421,0.8571428571428571,0.7260216007013872,0.8691111111111112,h2o,struc2vec_dim_32_umap_16_seed_0,struc2vec,32,True,umap,32,True,0
22,0.8526315789473684,0.8571428571428571,0.724568837309472,0.9284444444444445,h2o,bitcoin_otc_gf_nbrs_emb,graph_features,0,False,no_compression,0,False,NA
23,0.8631578947368421,0.8571428571428571,0.7260216007013872,0.9177777777777777,h2o,rolx_dim_128_umap_16_seed_0,rolx,128,True,umap,128,True,0
24,0.8736842105263158,0.8571428571428571,0.7510980972205639,0.9088888888888889,h2o,rolx_dim_64_pca_16,rolx,64,True,pca,64,False,NA
25,0.8736842105263158,0.8571428571428571,0.7510980972205639,0.9288888888888889,h2o,rolx_dim_128,rolx,128,False,no_compression,128,False,NA
26,0.8631578947368421,0.853932584269663,0.7254123065252674,0.9037777777777778,h2o,bitcoin_otc_gf_nbrs,graph_features,0,False,no_compression,0,False,NA
27,0.8631578947368421,0.853932584269663,0.7254123065252674,0.9053333333333333,h2o,bitcoin_otc_gf_nbrs_umap_16_seed_0,graph_features,0,True,umap,0,True,0
28,0.8526315789473684,0.851063829787234,0.7082596043539526,0.867111111111111,h2o,struc2vec_dim_4,struc2vec,4,False,no_compression,4,False,NA
29,0.8526315789473684,0.8478260869565217,0.7057263247109823,0.8731111111111112,h2o,bitcoin_otc_gf_umap_16_seed_1,graph_features,0,True,umap,0,True,1
30,0.8526315789473684,0.8478260869565217,0.7057263247109823,0.8911111111111112,h2o,bitcoin_otc_gf_emb_umap_16_seed_1,graph_features,0,True,umap,0,True,1
31,0.8526315789473684,0.8478260869565217,0.7057263247109823,0.912,h2o,bitcoin_otc_gf_emb_umap_16_seed_0,graph_features,0,True,umap,0,True,0
32,0.8526315789473684,0.8478260869565217,0.7057263247109823,0.8786666666666666,h2o,struc2vec_dim_64,struc2vec,64,False,no_compression,64,False,NA
33,0.8421052631578947,0.845360824742268,0.6932713207899022,0.8911111111111112,h2o,struc2vec_dim_64_pca_16,struc2vec,64,True,pca,64,False,NA
