,acc,f1,mcc,auc,model,embedding_name,embedding_type,original_dim_number,compression,compression_name,compression_dim,is_seed,seed
0,0.658914728682171,0.770446096654275,0.271584159474975,0.690773127306731,h2o,node_stats_nbrs,node_stats,0,False,no_compression,0,False,NA
1,0.66138125440451,0.768361581920904,0.272705094353898,0.690063005825789,h2o,node_stats_nbrs_emb,node_stats,0,False,no_compression,0,False,NA
2,0.66138125440451,0.768361581920904,0.272705094353898,0.690063005825789,h2o,node_stats_emb,node_stats,0,False,no_compression,0,False,NA
3,0.647286821705426,0.76483914816493,0.242797301434976,0.665910600205227,h2o,node_stats,node_stats,0,False,no_compression,0,False,NA
4,0.630725863284003,0.758808820186406,0.187294610170118,0.630526586368978,h2o,node_stats_nbrs_pca_16,node_stats,0,True,pca,0,False,NA
5,0.616279069767442,0.757253384912959,0.168321816615827,0.611564378830948,h2o,node2vec_dim_64,node2vec,64,False,no_compression,64,False,NA
6,0.60968992248062,0.757056694813028,0.085020868283485,0.54689713344416,h2o,node2vec_dim_64_umap_16_seed_0,node2vec,64,True,umap,64,True,0
7,0.610641296687808,0.756446991404011,0.072701346392147,0.543233592466992,h2o,node2vec_dim_64_umap_16_seed_2,node2vec,64,True,umap,64,True,2
8,0.608174770965469,0.755867514805878,0.075223289278509,0.53514804973076,h2o,node2vec_dim_64_umap_16_seed_1,node2vec,64,True,umap,64,True,1
9,0.619802677942213,0.755416573598392,0.157352290072508,0.607740375862697,h2o,node_stats_nbrs_emb_umap_16_seed_0,node_stats,0,True,umap,0,True,0
10,0.61768851303735,0.754401805869075,0.147763621654094,0.602291887340494,h2o,node_stats_nbrs_emb_umap_16_seed_1,node_stats,0,True,umap,0,True,1
11,0.625088090204369,0.754314259763851,0.217807480156942,0.63683001357144,h2o,node_stats_nbrs_emb_pca_16,node_stats,0,True,pca,0,False,NA
12,0.61522198731501,0.754201209948465,0.170969463062756,0.616580431472501,h2o,node_stats_emb_pca_16,node_stats,0,True,pca,0,False,NA
13,0.615926708949965,0.754142409314823,0.14067841604103,0.591547744161798,h2o,node_stats_nbrs_emb_umap_16_seed_2,node_stats,0,True,umap,0,True,2
14,0.625088090204369,0.753603903304502,0.190472964863479,0.623046519422055,h2o,node_stats_pca_16,node_stats,0,True,pca,0,False,NA
15,0.606201550387597,0.751697381183317,0.090338184503357,0.551536486063263,h2o,node2vec_dim_128_umap_16_seed_2,node2vec,128,True,umap,128,True,2
16,0.607117688513037,0.751662971175166,0.118501046766094,0.573105791032919,h2o,node_stats_umap_16_seed_0,node_stats,0,True,umap,0,True,0
17,0.605355884425652,0.751105216622458,0.096702172419333,0.565852518164214,h2o,node_stats_nbrs_umap_16_seed_0,node_stats,0,True,umap,0,True,0
18,0.602325581395349,0.751091703056769,0.072826197452114,0.541027873473223,h2o,node2vec_dim_128_umap_16_seed_1,node2vec,128,True,umap,128,True,1
19,0.607117688513037,0.751049259995582,0.125483511497345,0.581703277833866,h2o,node_stats_nbrs_umap_16_seed_1,node_stats,0,True,umap,0,True,1
20,0.612403100775194,0.751030303030303,0.17829207413793,0.614929846539305,h2o,node2vec_dim_128,node2vec,128,False,no_compression,128,False,NA
21,0.606412966878083,0.750777432252332,0.096020717389069,0.561854011850184,h2o,node_stats_nbrs_umap_16_seed_2,node_stats,0,True,umap,0,True,2
22,0.601127554615927,0.750440917107584,0.054334325309801,0.523317896509492,h2o,rolx_dim_32_umap_16_seed_1,rolx,32,True,umap,32,True,1
23,0.601479915433404,0.750330833700926,0.072806279796188,0.533957564422965,h2o,rolx_dim_32_umap_16_seed_2,rolx,32,True,umap,32,True,2
24,0.603594080338266,0.750221043324492,0.110439159950637,0.565097399910627,h2o,node_stats_umap_16_seed_1,node_stats,0,True,umap,0,True,1
25,0.60077519379845,0.74994492178894,0.047439328780801,0.523994916916304,h2o,refex,node_stats,0,False,no_compression,0,False,NA
26,0.605708245243129,0.749779735682819,0.102726283369828,0.556753601810629,h2o,node_stats_umap_16_seed_2,node_stats,0,True,umap,0,True,2
27,0.599718111346018,0.749779735682819,0.034051119326734,0.503240802039026,h2o,rolx_dim_128,rolx,128,False,no_compression,128,False,NA
28,0.599718111346018,0.749779735682819,0.051269507003537,0.52406680831168,h2o,rolx_dim_4,rolx,4,False,no_compression,4,False,NA
29,0.602889358703312,0.749779735682819,0.071657303108005,0.526916345310405,h2o,rolx_dim_16,rolx,16,False,no_compression,16,False,NA
30,0.599718111346018,0.749779735682819,0.039327765922278,0.513435415666738,h2o,rolx_dim_128_umap_16_seed_1,rolx,128,True,umap,128,True,1
31,0.601832276250881,0.748672566371681,0.093963348873817,0.543297782290447,h2o,node2vec_dim_128_umap_16_seed_0,node2vec,128,True,umap,128,True,0
32,0.610077519379845,0.748481166464156,0.199828861686276,0.622815641006584,h2o,node2vec_dim_8,node2vec,8,False,no_compression,8,False,NA
33,0.60077519379845,0.748481166464156,0.071314231234945,0.524164651904723,h2o,rolx_dim_32_umap_16_seed_0,rolx,32,True,umap,32,True,0
34,0.599718111346018,0.748344370860927,0.102904742170736,0.550981448055381,h2o,node2vec_dim_4_umap_16_seed_1,node2vec,4,True,umap,4,True,1
35,0.59922480620155,0.748296007789679,0.049148602762561,0.513205304606398,h2o,rolx_dim_32,rolx,32,False,no_compression,32,False,NA
